Rank,Name,stock,marketcap,Year,Month,monthly_average_close,Growth
2,Microsoft,MSFT,1920016580608,2014,July,37.38497543334961,0.035011988938746574
2,Microsoft,MSFT,1920016580608,2014,August,39.59702682495117,0.0591695290945218
2,Microsoft,MSFT,1920016580608,2014,September,40.407615661621094,0.020470952030144537
2,Microsoft,MSFT,1920016580608,2014,October,40.92185974121094,0.012726414839623156
2,Microsoft,MSFT,1920016580608,2014,November,41.93427276611328,0.02474015187249124
2,Microsoft,MSFT,1920016580608,2014,December,40.741416931152344,-0.028445845278253494
2,Microsoft,MSFT,1920016580608,2015,January,35.4349479675293,-0.1302475309729724
2,Microsoft,MSFT,1920016580608,2015,February,38.734657287597656,0.09312019656673512
2,Microsoft,MSFT,1920016580608,2015,March,35.91679382324219,-0.07274786100296059
2,Microsoft,MSFT,1920016580608,2015,April,42.96587371826172,0.19626139041558846
2,Microsoft,MSFT,1920016580608,2015,May,41.66254806518555,-0.03033397299499629
2,Microsoft,MSFT,1920016580608,2015,June,39.25310897827149,-0.057832254598164
2,Microsoft,MSFT,1920016580608,2015,July,41.52029800415039,0.05775820272309892
2,Microsoft,MSFT,1920016580608,2015,August,38.94813919067383,-0.06194943045012462
2,Microsoft,MSFT,1920016580608,2015,September,39.61040496826172,0.017003784811020467
2,Microsoft,MSFT,1920016580608,2015,October,47.11006546020508,0.18933561769824234
2,Microsoft,MSFT,1920016580608,2015,November,48.96828842163086,0.03944428739958902
2,Microsoft,MSFT,1920016580608,2015,December,49.98638916015625,0.020791021523138695
2,Microsoft,MSFT,1920016580608,2016,January,49.63500213623047,-0.007029654068429272
2,Microsoft,MSFT,1920016580608,2016,February,46.171024322509766,-0.06978901308824996
2,Microsoft,MSFT,1920016580608,2016,March,50.11842727661133,0.08549524321852839
2,Microsoft,MSFT,1920016580608,2016,April,45.2545051574707,-0.09704857840601998
2,Microsoft,MSFT,1920016580608,2016,May,48.43121337890625,0.07019650773733252
2,Microsoft,MSFT,1920016580608,2016,June,46.75896453857422,-0.034528328399477254
2,Microsoft,MSFT,1920016580608,2016,July,51.79397964477539,0.10768020968572757
2,Microsoft,MSFT,1920016580608,2016,August,52.83400344848633,0.020080013369195654
2,Microsoft,MSFT,1920016580608,2016,September,52.962738037109375,0.0024365859147615866
2,Microsoft,MSFT,1920016580608,2016,October,55.095947265625,0.040277548094680274
2,Microsoft,MSFT,1920016580608,2016,November,55.78289413452149,0.012468192362400593
2,Microsoft,MSFT,1920016580608,2016,December,57.52322006225586,0.031198200716110916
2,Microsoft,MSFT,1920016580608,2017,January,59.84674072265625,0.0403927432762927
2,Microsoft,MSFT,1920016580608,2017,February,59.5855712890625,-0.004363970876944996
2,Microsoft,MSFT,1920016580608,2017,March,61.336448669433594,0.0293842509603073
2,Microsoft,MSFT,1920016580608,2017,April,63.757869720458984,0.03947768583856864
2,Microsoft,MSFT,1920016580608,2017,May,65.41590881347656,0.02600524610196531
2,Microsoft,MSFT,1920016580608,2017,June,64.56353759765625,-0.013030029411510866
2,Microsoft,MSFT,1920016580608,2017,July,68.09474182128906,0.054693474908986406
2,Microsoft,MSFT,1920016580608,2017,August,70.4067153930664,0.03395230688802657
2,Microsoft,MSFT,1920016580608,2017,September,70.1430892944336,-0.0037443317325775174
2,Microsoft,MSFT,1920016580608,2017,October,78.3259506225586,0.11665955136045561
2,Microsoft,MSFT,1920016580608,2017,November,79.65623474121094,0.016983951143635524
2,Microsoft,MSFT,1920016580608,2017,December,80.9527816772461,0.01627677909014164
2,Microsoft,MSFT,1920016580608,2018,January,89.91492462158203,0.11070827658606552
2,Microsoft,MSFT,1920016580608,2018,February,89.15827178955078,-0.008415208434147236
2,Microsoft,MSFT,1920016580608,2018,March,86.78124237060547,-0.02666078392093617
2,Microsoft,MSFT,1920016580608,2018,April,88.92057037353516,0.024651963310153305
2,Microsoft,MSFT,1920016580608,2018,May,94.38626861572266,0.06146719728885387
2,Microsoft,MSFT,1920016580608,2018,June,94.16664123535156,-0.002326899702596239
2,Microsoft,MSFT,1920016580608,2018,July,101.30005645751952,0.07575310246374131
2,Microsoft,MSFT,1920016580608,2018,August,107.68122863769533,0.0629927800963445
2,Microsoft,MSFT,1920016580608,2018,September,109.63677215576172,0.018160486677264998
2,Microsoft,MSFT,1920016580608,2018,October,102.38966369628906,-0.06610107463923362
2,Microsoft,MSFT,1920016580608,2018,November,106.7600326538086,0.04268369286262171
2,Microsoft,MSFT,1920016580608,2018,December,97.78714752197266,-0.08404723105445618
2,Microsoft,MSFT,1920016580608,2019,January,100.54063415527344,0.02815796045878193
2,Microsoft,MSFT,1920016580608,2019,February,108.31820678710937,0.07735750522345394
2,Microsoft,MSFT,1920016580608,2019,March,114.03238677978516,0.05275364282854624
2,Microsoft,MSFT,1920016580608,2019,April,126.27296447753906,0.1073429930164702
2,Microsoft,MSFT,1920016580608,2019,May,120.02486419677734,-0.04948090279351212
2,Microsoft,MSFT,1920016580608,2019,June,130.0010986328125,0.08311806476764184
2,Microsoft,MSFT,1920016580608,2019,July,132.24278259277344,0.01724357704308764
2,Microsoft,MSFT,1920016580608,2019,August,134.23130798339844,0.015036929438700917
2,Microsoft,MSFT,1920016580608,2019,September,135.37049865722656,0.008486773249419715
2,Microsoft,MSFT,1920016580608,2019,October,139.59628295898437,0.03121643447925812
2,Microsoft,MSFT,1920016580608,2019,November,147.89698791503906,0.05946222048400506
2,Microsoft,MSFT,1920016580608,2019,December,154.07156372070312,0.04174916536644486
2,Microsoft,MSFT,1920016580608,2020,January,166.31324768066406,0.07945453180544296
2,Microsoft,MSFT,1920016580608,2020,February,158.71473693847656,-0.045687946379216304
2,Microsoft,MSFT,1920016580608,2020,March,154.502197265625,-0.026541578646754722
2,Microsoft,MSFT,1920016580608,2020,April,175.56491088867187,0.13632630471161003
2,Microsoft,MSFT,1920016580608,2020,May,180.02272033691406,0.025391232369143205
2,Microsoft,MSFT,1920016580608,2020,June,199.92588806152344,0.11055919879091054
2,Microsoft,MSFT,1920016580608,2020,July,201.39947509765625,0.007370666452557378
2,Microsoft,MSFT,1920016580608,2020,August,222.0936584472656,0.10275192296094604
2,Microsoft,MSFT,1920016580608,2020,September,207.1252593994141,-0.06739678724958117
2,Microsoft,MSFT,1920016580608,2020,October,199.38504028320312,-0.03736974977680033
2,Microsoft,MSFT,1920016580608,2020,November,211.3601837158203,0.060060390767571616
2,Microsoft,MSFT,1920016580608,2020,December,219.6044921875,0.03900596757033667
3,Alphabet (Google),GOOG,1477649235968,2010,January,263.98052978515625,NA
3,Alphabet (Google),GOOG,1477649235968,2010,February,262.4164123535156,-0.005925124223796357
3,Alphabet (Google),GOOG,1477649235968,2010,March,282.5011291503906,0.07653757863977566
3,Alphabet (Google),GOOG,1477649235968,2010,April,261.8684387207031,-0.07303578039400899
3,Alphabet (Google),GOOG,1477649235968,2010,May,241.90826416015625,-0.0762221467316093
3,Alphabet (Google),GOOG,1477649235968,2010,June,221.64422607421875,-0.08376744860821134
3,Alphabet (Google),GOOG,1477649235968,2010,July,241.5197296142578,0.08967300385882213
3,Alphabet (Google),GOOG,1477649235968,2010,August,224.1697540283203,-0.07183668023166447
3,Alphabet (Google),GOOG,1477649235968,2010,September,261.9132995605469,0.16837037492336393
3,Alphabet (Google),GOOG,1477649235968,2010,October,305.7041320800781,0.16719591022298605
3,Alphabet (Google),GOOG,1477649235968,2010,November,276.8174133300781,-0.09449240529870635
3,Alphabet (Google),GOOG,1477649235968,2010,December,295.8759765625,0.0688488596260972
3,Alphabet (Google),GOOG,1477649235968,2011,January,299.0590515136719,0.010758139231690854
3,Alphabet (Google),GOOG,1477649235968,2011,February,305.5547180175781,0.021720347439840963
3,Alphabet (Google),GOOG,1477649235968,2011,March,292.2844543457031,-0.04343007287850676
3,Alphabet (Google),GOOG,1477649235968,2011,April,271.0340881347656,-0.07270440112358272
3,Alphabet (Google),GOOG,1477649235968,2011,May,263.5222473144531,-0.027715483583664227
3,Alphabet (Google),GOOG,1477649235968,2011,June,252.24452209472656,-0.042796102927390396
3,Alphabet (Google),GOOG,1477649235968,2011,July,300.71783447265625,0.1921679486848332
3,Alphabet (Google),GOOG,1477649235968,2011,August,269.469970703125,-0.10391090978800116
3,Alphabet (Google),GOOG,1477649235968,2011,September,256.558349609375,-0.04791487919807855
3,Alphabet (Google),GOOG,1477649235968,2011,October,295.2134704589844,0.1506679510078859
3,Alphabet (Google),GOOG,1477649235968,2011,November,298.57586669921875,0.011389711434937827
3,Alphabet (Google),GOOG,1477649235968,2011,December,321.7440185546875,0.0775955274335954
3,Alphabet (Google),GOOG,1477649235968,2012,January,288.97186279296875,-0.10185785553663183
3,Alphabet (Google),GOOG,1477649235968,2012,February,307.97064208984375,0.0657461218308528
3,Alphabet (Google),GOOG,1477649235968,2012,March,319.4227294921875,0.03718564641302028
3,Alphabet (Google),GOOG,1477649235968,2012,April,301.2956848144531,-0.056749388832010875
3,Alphabet (Google),GOOG,1477649235968,2012,May,289.345458984375,-0.039662784541495945
3,Alphabet (Google),GOOG,1477649235968,2012,June,288.9519348144531,-0.0013600495798454047
3,Alphabet (Google),GOOG,1477649235968,2012,July,315.30316162109375,0.09119588288468024
3,Alphabet (Google),GOOG,1477649235968,2012,August,341.2658386230469,0.0823419494700564
3,Alphabet (Google),GOOG,1477649235968,2012,September,375.84124755859375,0.10131517726782477
3,Alphabet (Google),GOOG,1477649235968,2012,October,338.8797912597656,-0.09834326737398834
3,Alphabet (Google),GOOG,1477649235968,2012,November,347.88104248046875,0.02656178223918725
3,Alphabet (Google),GOOG,1477649235968,2012,December,352.3692321777344,0.012901506978546
3,Alphabet (Google),GOOG,1477649235968,2013,January,376.43402099609375,0.06829423973720027
3,Alphabet (Google),GOOG,1477649235968,2013,February,399.10406494140625,0.060223153808799196
3,Alphabet (Google),GOOG,1477649235968,2013,March,395.6121520996094,-0.008749379293617403
3,Alphabet (Google),GOOG,1477649235968,2013,April,410.7454223632813,0.038252794266697844
3,Alphabet (Google),GOOG,1477649235968,2013,May,433.98333740234375,0.056574982395080256
3,Alphabet (Google),GOOG,1477649235968,2013,June,438.5412292480469,0.010502458165755627
3,Alphabet (Google),GOOG,1477649235968,2013,July,442.2174682617187,0.008382881171686757
3,Alphabet (Google),GOOG,1477649235968,2013,August,421.8687438964844,-0.046015198009299985
3,Alphabet (Google),GOOG,1477649235968,2013,September,436.319580078125,0.034254341879346444
3,Alphabet (Google),GOOG,1477649235968,2013,October,513.36578369140625,0.17658204474684766
3,Alphabet (Google),GOOG,1477649235968,2013,November,527.81658935546875,0.028149140677340406
3,Alphabet (Google),GOOG,1477649235968,2013,December,558.26251220703125,0.05768276985901646
3,Alphabet (Google),GOOG,1477649235968,2014,January,588.27996826171875,0.053769428178182144
3,Alphabet (Google),GOOG,1477649235968,2014,February,605.55523681640625,0.029365726332197563
3,Alphabet (Google),GOOG,1477649235968,2014,March,555.44500732421875,-0.08275088125012788
3,Alphabet (Google),GOOG,1477649235968,2014,April,525.218017578125,-0.0544194102881727
3,Alphabet (Google),GOOG,1477649235968,2014,May,558.3570556640625,0.06309577542436107
3,Alphabet (Google),GOOG,1477649235968,2014,June,573.70489501953125,0.027487499620140615
3,Alphabet (Google),GOOG,1477649235968,2014,July,570.03497314453125,-0.006396880882243581
3,Alphabet (Google),GOOG,1477649235968,2014,August,570.03497314453125,0
3,Alphabet (Google),GOOG,1477649235968,2014,September,575.7791748046875,0.010076928488210176
3,Alphabet (Google),GOOG,1477649235968,2014,October,557.54925537109375,-0.031661303901409074
3,Alphabet (Google),GOOG,1477649235968,2014,November,540.34649658203125,-0.030854240452016537
3,Alphabet (Google),GOOG,1477649235968,2014,December,524.958740234375,-0.028477572159700676
3,Alphabet (Google),GOOG,1477649235968,2015,January,533.0565185546875,0.015425551952325122
3,Alphabet (Google),GOOG,1477649235968,2015,February,556.87109375,0.04467551632213894
3,Alphabet (Google),GOOG,1477649235968,2015,March,546.49957275390625,-0.01862463523874326
3,Alphabet (Google),GOOG,1477649235968,2015,April,537.34002685546875,-0.016760389861388104
3,Alphabet (Google),GOOG,1477649235968,2015,May,532.1099853515625,-0.009733206615022935
3,Alphabet (Google),GOOG,1477649235968,2015,June,520.510009765625,-0.021799958477143503
3,Alphabet (Google),GOOG,1477649235968,2015,July,625.6099853515625,0.20191729959864146
3,Alphabet (Google),GOOG,1477649235968,2015,August,618.25,-0.011764494691411527
3,Alphabet (Google),GOOG,1477649235968,2015,September,608.41998291015625,-0.015899744585270926
3,Alphabet (Google),GOOG,1477649235968,2015,October,710.80999755859375,0.16828838224328532
3,Alphabet (Google),GOOG,1477649235968,2015,November,742.5999755859375,0.04472359440150281
3,Alphabet (Google),GOOG,1477649235968,2015,December,758.8800048828125,0.021923013509432834
3,Alphabet (Google),GOOG,1477649235968,2016,January,742.95001220703125,-0.02099145131415234
3,Alphabet (Google),GOOG,1477649235968,2016,February,697.77001953125,-0.060811618458108785
