Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,46.330002,46.639999,42.630001,42.790001,38.016224,2382152500
2010-02-01,42.900002,45.049999,42.119999,44.759998,39.766430,1932176400
2010-03-01,44.959999,48.599998,44.950001,48.160000,42.787144,1623606900
2010-04-01,48.360001,50.650002,47.790001,49.240002,43.793343,1701457500
2010-05-01,49.450001,50.169998,42.639999,45.599998,40.555981,2952228100
2010-06-01,45.430000,47.680000,42.639999,42.709999,37.985653,2058088600
2010-07-01,42.840000,46.720001,41.770000,45.810001,40.900234,1748673600
2010-08-01,46.389999,47.189999,42.970001,43.459999,38.802097,1483278100
2010-09-01,44.099998,49.840000,44.070000,49.070000,43.810829,1574743200
2010-10-01,49.480000,52.490002,48.200001,52.180000,46.696609,1538354800
2010-11-01,52.369999,54.040001,50.849998,52.090000,46.616081,1564994700
2010-12-01,52.860001,54.959999,52.840000,54.459999,48.737003,1006766900
2011-01-01,54.970001,57.349998,54.919998,56.000000,50.214539,1265608600
2011-02-01,56.419998,59.040001,56.130001,57.770000,51.801682,1101561900
2011-03-01,58.020000,58.369999,53.770000,57.430000,51.496811,1729243300
2011-04-01,57.720001,59.290001,55.320000,59.080002,53.051098,1032891200
2011-05-01,59.169998,59.340000,56.470001,58.360001,52.404572,1054622500
2011-06-01,58.220001,58.360001,53.619999,57.049999,51.228241,1155628500
2011-07-01,57.080002,59.830002,56.869999,58.000000,52.198086,1277418400
2011-08-01,58.700001,58.820000,49.930000,55.060001,49.552200,2526145600
2011-09-01,55.200001,57.349998,51.910000,52.490002,47.239273,1666877800
2011-10-01,52.020000,59.200001,50.099998,57.950001,52.249821,1616785100
2011-11-01,56.520000,58.980000,52.869999,56.389999,50.843262,1295070500
2011-12-01,56.380001,57.619999,54.169998,55.830002,50.338352,1004361600
2012-01-01,56.910000,60.860001,56.560001,60.529999,54.784897,828883900
2012-02-01,60.880001,64.959999,60.660000,64.410004,58.296635,1018602500
2012-03-01,64.650002,68.510002,63.230000,67.550003,61.138611,1070054300
2012-04-01,67.480003,68.550003,64.449997,66.760002,60.526161,1056184900
2012-05-01,66.690002,67.629997,60.759998,62.060001,56.265038,1300328800
2012-06-01,60.939999,64.570000,60.040001,64.160004,58.168941,973815200
2012-07-01,64.250000,65.309998,61.860001,64.800003,58.884212,860805100
2012-08-01,65.260002,68.879997,63.910000,68.160004,61.937473,679866200
2012-09-01,68.029999,70.580002,67.419998,68.570000,62.310040,639521900
2012-10-01,68.900002,69.800003,64.650002,64.949997,59.188831,863124200
2012-11-01,65.360001,66.209999,61.310001,65.800003,59.963444,901783900
2012-12-01,66.309998,66.760002,63.580002,65.129997,59.352863,815856000
2013-01-01,66.730003,67.790001,66.169998,66.870003,61.277939,741836700
2013-02-01,67.339996,68.260002,65.959999,67.099998,61.488708,656562100
2013-03-01,66.870003,69.059998,66.540001,68.970001,63.202328,557979300
2013-04-01,69.019997,70.730003,66.879997,70.720001,64.955963,835537700
2013-05-01,70.739998,74.949997,70.250000,73.250000,67.279755,680414200
2013-06-01,73.260002,73.820000,69.150002,71.269997,65.461143,748561600
2013-07-01,71.750000,76.209999,71.349998,75.769997,69.814537,581695700
2013-08-01,76.290001,77.279999,74.959999,75.470001,69.538086,529245500
2013-09-01,76.089996,79.690002,75.540001,78.879997,72.680077,503988800
2013-10-01,78.889999,83.489998,76.349998,82.790001,76.511826,817353700
2013-11-01,83.070000,85.839996,81.370003,85.730003,79.228874,542339400
2013-12-01,85.830002,87.959999,84.050003,87.959999,81.289749,651649200
2014-01-01,87.550003,89.000000,84.760002,86.269997,79.981171,831732700
2014-02-01,86.110001,90.959999,83.739998,90.339996,83.754478,713558700
2014-03-01,89.489998,91.360001,86.400002,87.669998,81.616493,809345400
2014-04-01,88.099998,89.680000,83.279999,87.389999,81.541885,1141398200
2014-05-01,87.529999,91.449997,85.529999,91.309998,85.199554,789193700
2014-06-01,91.419998,94.139999,90.639999,93.910004,87.625557,567012900
2014-07-01,94.239998,97.510002,93.629997,95.019997,88.899529,661530400
2014-08-01,94.820000,99.910004,93.889999,99.779999,93.352936,645904700
2014-09-01,100.019997,100.559998,97.699997,98.790001,92.426704,755958700
2014-10-01,98.510002,101.750000,90.239998,101.400002,95.094284,1285037500
2014-11-01,101.580002,106.250000,100.669998,106.010002,99.417587,434990100
2014-12-01,105.720001,105.919998,99.919998,103.250000,96.829224,815702200
2015-01-01,103.760002,104.580002,99.360001,101.099998,95.166206,826291600
2015-02-01,101.330002,108.940002,99.750000,108.400002,102.037773,472456500
2015-03-01,108.610001,109.419998,104.239998,105.599998,99.402115,633635600
2015-04-01,105.599998,111.160004,104.339996,107.629997,101.545975,568699300
2015-05-01,108.050003,111.080002,106.000000,110.050003,103.829163,518233500
2015-06-01,110.639999,111.129997,106.639999,107.070000,101.017616,577030600
2015-07-01,108.129997,114.389999,105.830002,111.949997,105.864677,644885700
2015-08-01,111.970001,113.000000,84.739998,104.309998,98.639977,1010304800
2015-09-01,101.709999,108.730003,98.750000,101.760002,96.228592,881201500
2015-10-01,101.940002,114.080002,100.480003,113.330002,107.430435,740627200
2015-11-01,113.629997,115.470001,109.480003,114.019997,108.084488,543413300
2015-12-01,114.480003,115.750000,109.379997,111.860001,106.036942,757497500
2016-01-01,109.449997,110.180000,97.250000,104.129997,99.010796,1077308200
2016-02-01,103.629997,104.800003,94.839996,102.500000,97.460938,942259600
2016-03-01,103.480003,110.040001,103.160004,109.199997,103.831566,601605100
2016-04-01,108.540001,111.440002,104.879997,105.720001,100.820824,559253800
2016-05-01,105.989998,110.510002,104.400002,110.339996,105.226730,536482700
2016-06-01,110.000000,110.750000,101.750000,107.540001,102.556473,577926300
2016-07-01,107.489998,115.540001,106.570000,115.230003,110.182808,421072600
2016-08-01,115.309998,118.010002,114.220001,116.440002,111.339813,369269900
2016-09-01,116.480003,119.220001,113.629997,118.720001,113.519951,540756600
2016-10-01,118.570000,119.660004,115.940002,116.989998,112.145996,406941800
2016-11-01,117.190002,119.510002,113.449997,117.500000,112.634865,598118800
2016-12-01,117.459999,121.519997,115.220001,118.480003,113.574287,498414300
2017-01-01,119.269997,125.919998,118.889999,124.570000,119.765274,366254600
2017-02-01,125.449997,130.699997,124.860001,130.020004,125.005074,307437600
2017-03-01,130.850006,132.740005,129.399994,132.380005,127.274033,442963500
2017-04-01,132.490005,136.339996,130.380005,135.990005,131.016739,388248100
2017-05-01,136.440002,141.839996,135.869995,141.289993,136.122910,532489700
2017-06-01,141.580002,143.899994,136.250000,137.639999,132.606400,1046003200
2017-07-01,138.270004,145.960007,135.800003,143.229996,138.367905,705002300
2017-08-01,143.720001,146.210007,140.179993,146.199997,141.237091,810771900
2017-09-01,146.389999,146.589996,142.100006,145.449997,140.512543,631562000
2017-10-01,145.669998,152.369995,144.929993,152.149994,147.306808,549094600
2017-11-01,152.759995,156.690002,150.770004,155.149994,150.211334,584198400
2017-12-01,154.199997,158.770004,152.059998,155.759995,150.801895,622383900
2018-01-01,156.559998,170.949997,156.169998,169.399994,164.350693,698394900
2018-02-01,168.100006,170.729996,150.130005,167.210007,162.225998,1179841200
2018-03-01,167.300003,175.210007,156.039993,160.130005,155.357025,1085306700
2018-04-01,158.990005,167.000000,153.880005,160.940002,156.396194,987380500
2018-05-01,160.520004,171.199997,159.220001,170.070007,165.268417,687987000
2018-06-01,170.919998,177.979996,169.169998,171.649994,166.803818,784338500
2018-07-01,170.039993,182.929993,169.669998,176.449997,171.835281,708010500
2018-08-01,176.860001,187.520004,175.789993,186.649994,181.768524,667523000
2018-09-01,186.080002,186.490005,180.440002,185.789993,180.931046,645534400
2018-10-01,186.869995,187.529999,160.089996,169.820007,165.676315,1817070600
2018-11-01,170.070007,175.580002,157.130005,169.369995,165.237259,1152121500
2018-12-01,173.110001,173.309998,143.460007,154.259995,150.495926,1395544900
2019-01-01,150.990005,168.990005,149.490005,168.160004,164.526215,933706500
2019-02-01,167.330002,174.660004,166.570007,173.190002,169.447495,535964100
2019-03-01,174.440002,182.830002,169.339996,179.660004,175.777664,781972700
2019-04-01,181.509995,191.320007,180.770004,189.539993,185.781647,550157700
2019-05-01,190.779999,191.320007,173.869995,173.949997,170.500793,901554000
2019-06-01,173.479996,189.770004,169.270004,186.740005,183.037170,688730400
2019-07-01,190.320007,195.550003,188.380005,191.100006,187.724854,494025500
2019-08-01,191.429993,194.979996,179.199997,187.470001,184.158997,814286500
2019-09-01,186.220001,194.710007,185.029999,188.809998,185.475311,550650200
2019-10-01,189.500000,197.830002,181.820007,197.080002,193.989670,576983400
2019-11-01,197.929993,206.050003,197.630005,205.100006,201.883911,351429700
2019-12-01,205.110001,214.559998,199.229996,212.610001,209.276138,429951100
2020-01-01,214.399994,225.880005,212.240005,219.070007,216.102356,585493000
