Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,104.839996,107.230003,100.410004,100.550003,75.910431,229355400
2010-02-01,101.209999,104.389999,98.360001,103.300003,77.986534,214258200
2010-03-01,103.669998,109.529999,103.580002,108.610001,82.204422,171222100
2010-04-01,109.239998,112.580002,108.500000,110.099998,83.492287,212147400
2010-05-01,110.570000,111.820000,97.750000,101.470001,77.010704,412859200
2010-06-01,100.669998,105.959999,97.589996,97.730003,74.452782,282428800
2010-07-01,97.750000,105.930000,96.169998,104.699997,79.907875,218440900
2010-08-01,106.080002,107.370003,99.370003,100.199997,76.542076,167266900
2010-09-01,101.360001,109.519997,101.330002,107.910004,82.739998,125993800
2010-10-01,108.550003,112.550003,107.070000,111.309998,85.500748,131885300
2010-11-01,111.680000,114.629997,109.400002,110.169998,84.696022,140835200
2010-12-01,111.680000,115.980003,111.589996,115.629997,89.180550,124823300
2011-01-01,116.410004,119.940002,115.559998,118.599998,91.877205,171137800
2011-02-01,119.160004,123.639999,119.080002,122.150002,94.742859,132276200
2011-03-01,122.400002,123.580002,115.510002,123.019997,95.650642,192920200
2011-04-01,123.589996,128.119995,120.650002,128.039993,99.745316,126745900
2011-05-01,128.600006,128.630005,122.800003,125.500000,97.855911,154591700
2011-06-01,125.129997,125.180000,118.489998,123.830002,96.872406,146290300
2011-07-01,124.089996,127.370003,120.639999,121.129997,94.925369,146856200
2011-08-01,122.739998,122.959999,105.940002,115.949997,90.947990,359056000
2011-09-01,116.089996,117.029999,105.720001,108.930000,85.768150,236814200
2011-10-01,108.209999,122.580002,103.839996,119.339996,94.137726,210863300
2011-11-01,116.900002,121.750000,112.139999,120.190002,94.960556,189762300
2011-12-01,120.010002,123.000000,117.050003,121.849998,96.505455,135753500
2012-01-01,123.940002,128.130005,122.589996,126.070000,100.147850,129418700
2012-02-01,127.070000,130.369995,126.480003,129.289993,102.841850,131463300
2012-03-01,129.600006,132.610001,127.180000,131.800003,105.108795,127375500
2012-04-01,131.559998,132.679993,126.919998,131.800003,105.311623,131885100
2012-05-01,131.850006,133.139999,122.820000,123.699997,98.953278,150557000
2012-06-01,122.129997,128.710007,120.190002,128.449997,103.105659,135600100
2012-07-01,128.619995,130.990005,124.769997,129.690002,104.282501,103815400
2012-08-01,130.470001,133.020004,127.510002,130.880005,105.410538,97470500
2012-09-01,130.740005,136.479996,129.630005,134.050003,108.248627,81878000
2012-10-01,134.619995,136.440002,130.089996,130.600006,105.681137,112174400
2012-11-01,131.020004,132.630005,124.419998,130.100006,105.422157,137897200
2012-12-01,130.690002,133.729996,128.539993,130.580002,106.084122,120863400
2013-01-01,132.990005,140.220001,132.740005,138.410004,112.795036,107710000
2013-02-01,139.289993,141.309998,137.600006,140.279999,114.441185,109155500
2013-03-01,139.889999,145.529999,139.169998,145.320007,118.856247,116788600
2013-04-01,145.300003,148.660004,144.050003,148.020004,121.316566,164699300
2013-05-01,147.559998,155.139999,146.580002,151.100006,123.961304,136104200
2013-06-01,151.539993,153.360001,145.169998,148.550003,122.213234,168441100
2013-07-01,149.520004,156.029999,148.250000,154.839996,127.650970,109215600
2013-08-01,155.889999,156.240005,147.369995,147.850006,122.050262,125415600
2013-09-01,148.880005,157.059998,147.610001,151.000000,124.967308,135222900
2013-10-01,151.000000,156.869995,146.960007,155.289993,128.768158,176083200
2013-11-01,155.580002,161.580002,154.869995,160.720001,133.418610,114369600
2013-12-01,160.759995,165.509995,157.070007,165.470001,137.620132,138229600
2014-01-01,164.789993,165.289993,155.850006,156.750000,130.686600,186965800
2014-02-01,156.570007,163.770004,153.119995,163.020004,136.024399,150777800
2014-03-01,161.589996,164.889999,160.380005,164.240005,137.412903,139639600
2014-04-01,164.669998,166.059998,159.880005,165.449997,138.664719,129276700
2014-05-01,165.300003,167.289993,163.039993,166.929993,140.017776,90738100
2014-06-01,167.250000,169.580002,166.580002,167.889999,141.184265,81057400
2014-07-01,168.289993,171.320007,165.289993,165.289993,139.266342,92877300
2014-08-01,164.800003,171.350006,163.130005,170.880005,144.130814,91516600
2014-09-01,170.940002,173.320007,168.940002,170.070007,143.702286,110722300
2014-10-01,169.910004,173.630005,158.270004,173.449997,146.909637,224560300
2014-11-01,173.570007,178.690002,172.460007,178.100006,150.848251,82373700
2014-12-01,177.539993,180.710007,170.740005,177.880005,151.043564,153832700
2015-01-01,178.649994,179.229996,171.059998,171.449997,145.897964,158080300
2015-02-01,171.949997,182.240005,170.100006,181.190002,154.318314,89529200
2015-03-01,181.369995,182.679993,175.460007,177.580002,151.656387,117760900
2015-04-01,177.539993,181.539993,175.570007,178.179993,152.432556,108809200
2015-05-01,179.210007,183.350006,177.250000,180.110001,154.184311,84988500
2015-06-01,181.000000,181.940002,175.449997,175.820007,150.844864,111271300
2015-07-01,177.570007,181.250000,173.779999,176.679993,151.985016,95582100
2015-08-01,176.820007,176.869995,150.570007,165.179993,142.227509,209167000
2015-09-01,161.399994,169.440002,159.179993,162.619995,140.477142,177477100
2015-10-01,163.009995,177.830002,159.929993,176.490005,152.758850,143995600
2015-11-01,176.869995,179.600006,172.149994,177.229996,153.471054,104538100
2015-12-01,177.919998,179.039993,170.889999,173.990005,151.152954,152886500
2016-01-01,171.050003,171.740005,154.380005,164.369995,143.129059,221571000
2016-02-01,163.389999,167.949997,155.259995,164.960007,143.718475,154988900
2016-03-01,166.009995,177.649994,165.710007,176.639999,154.469986,82236900
2016-04-01,175.710007,181.419998,174.679993,177.589996,155.634323,74121500
2016-05-01,178.080002,179.270004,173.669998,177.649994,155.799973,59842900
2016-06-01,176.979996,180.179993,170.369995,179.000000,157.535873,86715500
2016-07-01,178.779999,186.080002,176.960007,184.130005,162.375519,65794400
2016-08-01,184.350006,186.880005,182.309998,183.940002,162.326477,57464400
2016-09-01,183.729996,185.490005,179.929993,182.779999,161.872604,77934600
2016-10-01,182.309998,183.850006,179.429993,181.169998,160.759079,56215000
2016-11-01,181.520004,192.250000,178.639999,191.399994,170.005096,82978500
2016-12-01,191.839996,199.830002,191.429993,197.509995,175.927444,87859700
2017-01-01,198.910004,200.970001,196.690002,198.360001,177.069656,86089800
2017-02-01,199.130005,208.369995,198.020004,207.979996,185.838913,63888900
2017-03-01,209.919998,211.589996,203.809998,206.339996,184.875809,86710800
2017-04-01,206.520004,210.429993,203.639999,209.080002,187.696442,57320200
2017-05-01,209.490005,210.919998,205.860001,210.000000,188.689255,55340000
2017-06-01,210.270004,215.070007,209.910004,213.240005,192.164978,57726200
2017-07-01,213.949997,219.029999,212.679993,218.699997,197.449432,38988600
2017-08-01,219.740005,221.679993,215.729996,219.520004,198.406326,67798900
2017-09-01,220.130005,223.970001,217.179993,223.820007,202.785324,43396000
2017-10-01,224.190002,234.699997,224.020004,233.630005,212.110352,50038700
2017-11-01,234.600006,243.490005,232.649994,242.839996,220.646347,61412300
2017-12-01,243.139999,248.610001,239.410004,247.380005,225.310410,73664300
2018-01-01,248.339996,265.929993,247.229996,261.440002,238.661301,102211800
2018-02-01,259.950012,262.899994,233.759995,250.199997,228.527161,183041700
2018-03-01,250.210007,254.720001,234.850006,241.399994,221.054108,121375800
2018-04-01,240.330002,248.479996,233.199997,241.539993,221.586258,107013400
2018-05-01,240.690002,250.669998,235.119995,244.179993,224.128159,82718200
2018-06-01,246.139999,254.160004,239.830002,242.729996,223.425766,99747700
2018-07-01,240.919998,255.679993,240.619995,254.169998,234.305573,75848400
2018-08-01,253.899994,261.769989,249.860001,259.850006,239.845825,79663800
2018-09-01,259.220001,267.609985,257.820007,264.399994,244.559647,63102800
2018-10-01,266.100006,269.279999,241.050003,251.190002,232.816940,163946700
2018-11-01,252.149994,262.970001,242.710007,255.509995,236.965744,93217400
2018-12-01,260.170013,260.299988,216.970001,233.199997,216.789490,136737400
2019-01-01,229.270004,251.000000,226.360001,250.119995,233.146301,93252100
2019-02-01,250.669998,262.359985,249.130005,259.279999,241.857300,60166600
2019-03-01,261.149994,261.679993,252.460007,259.130005,242.380432,88452200
2019-04-01,261.230011,266.859985,260.579987,265.790009,249.137146,62240200
2019-05-01,266.470001,266.809998,248.220001,248.220001,232.807037,90766600
2019-06-01,248.339996,268.959991,247.039993,265.850006,249.963516,64656500
2019-07-01,268.450012,273.989990,266.000000,268.519989,253.075226,47920200
2019-08-01,268.820007,271.709991,253.929993,264.130005,249.141815,87214100
2019-09-01,262.070007,273.440002,260.029999,269.179993,254.574615,56036400
2019-10-01,269.760010,275.000000,257.380005,270.480011,256.415192,62734700
2019-11-01,271.859985,281.910004,271.690002,280.950012,266.511322,37038500
2019-12-01,281.450012,286.850006,273.619995,285.100006,270.948608,44607400
2020-01-01,286.440002,293.609985,281.609985,282.420013,269.221222,58268500
2020-02-01,283.690002,295.869995,247.000000,254.559998,242.777618,91684900
2020-03-01,256.709991,271.109985,182.100006,219.229996,209.658661,254951200
2020-04-01,210.649994,247.669998,207.179993,243.220001,233.298889,138549700
2020-05-01,239.580002,257.940002,228.300003,254.289993,244.052216,89615500
2020-06-01,253.779999,276.380005,249.100006,257.869995,247.971954,120196900
2020-07-01,258.869995,270.540009,255.350006,264.350006,254.937469,74383800
2020-08-01,265.670013,287.450012,265.350006,284.279999,274.374298,55267700
2020-09-01,283.730011,292.359985,265.269989,277.500000,268.414001,77593100
2020-10-01,279.329987,289.609985,261.410004,265.059998,256.994415,72158000
2020-11-01,268.899994,301.109985,266.929993,296.619995,287.712097,82895400
2020-12-01,299.730011,306.290009,296.350006,305.790009,297.263062,64517400
2021-01-01,306.589996,312.709991,298.589996,299.809998,292.015564,71320500
2021-02-01,302.279999,320.040009,300.140015,309.450012,301.529480,61198700
2021-03-01,313.480011,332.859985,305.679993,330.179993,322.342712,122196100
2021-04-01,330.779999,342.429993,329.720001,338.940002,331.570313,75055200
2021-05-01,340.790009,351.089996,335.200012,345.640015,338.235840,86276900
2021-06-01,348.540009,348.649994,332.679993,344.950012,338.256989,76505600
2021-07-01,345.779999,351.709991,337.380005,349.480011,343.198700,88572500
2021-08-01,350.450012,356.600006,347.109985,353.920013,347.764648,69352400
2021-09-01,354.290009,355.179993,335.989990,338.290009,332.988617,98119200
2021-10-01,340.029999,358.929993,337.679993,358.230011,353.363098,83791100
2021-11-01,359.450012,365.640015,344.359985,344.899994,340.328186,86987900
2021-12-01,348.040009,366.720001,340.320007,363.320007,359.204773,121742800
