Date,Open,High,Low,Close,Adj Close,Volume,index,Growth_rate,Year,Month
2010-01-01,3289.75,3306.75,2963.891113,2989.291992,2989.291992,2356000,SS,0,2010,January
2010-02-01,2981.374023,3067.524902,2890.020996,3051.943115,3051.943115,1225400,SS,0.02095851565108669,2010,February
2010-03-01,3057.006104,3132.575928,2963.437988,3109.10498,3109.10498,2148600,SS,0.018729662659521765,2010,March
2010-04-01,3111.935059,3181.663086,2820.948975,2870.611084,2870.611084,2298000,SS,-0.07670821588018555,2010,April
2010-05-01,2821.354004,2862.554932,2481.974121,2592.145996,2592.145996,1669600,SS,-0.09700550853164612,2010,May
2010-06-01,2577.762939,2598.896973,2382.35791,2398.370117,2398.370117,1225600,SS,-0.07475500195553038,2010,June
2010-07-01,2393.947998,2656.407959,2319.739014,2637.50293,2637.50293,1908000,SS,0.09970638447543673,2010,July
2010-08-01,2635.806885,2701.929932,2564.837891,2638.798096,2638.798096,2409400,SS,4.910576535359075e-4,2010,August
2010-09-01,2641.052979,2704.933105,2573.628906,2655.657959,2655.657959,2045400,SS,0.006389220541562848,2010,September
2010-10-01,2681.25293,3073.384033,2677.993896,2978.834961,2978.834961,2970200,SS,0.12169375988528795,2010,October
2010-11-01,2986.885986,3186.719971,2758.924072,2820.180908,2820.180908,3533800,SS,-0.05326043741165834,2010,November
2010-12-01,2810.542969,2939.050049,2721.479004,2808.076904,2808.076904,2006000,SS,-0.004291924665422849,2010,December
2011-01-01,2825.329102,2868.004883,2661.447998,2790.694092,2790.694092,1728400,SS,-0.006190290577597311,2011,January
2011-02-01,2795.071045,2944.413086,2760.175049,2905.052979,2905.052979,1756400,SS,0.040978653779297804,2011,February
2011-03-01,2906.284912,3012.043945,2850.945068,2928.111084,2928.111084,2941200,SS,0.007937240789301305,2011,March
2011-04-01,2932.480957,3067.456055,2871.01001,2911.51001,2911.51001,2310000,SS,-0.0056695506159971055,2011,April
2011-05-01,2911.51001,2933.459961,2689.206055,2743.471924,2743.471924,1784800,SS,-0.05771509815279667,2011,May
2011-06-01,2737.056885,2774.36499,2610.98999,2762.075928,2762.075928,1626600,SS,0.006781189862834645,2011,June
2011-07-01,2767.833008,2826.958984,2677.118896,2701.729004,2701.729004,1972000,SS,-0.021848394313945304,2011,July
2011-08-01,2697.574951,2712.887939,2437.679932,2567.340088,2567.340088,1802200,SS,-0.04974181933163267,2011,August
2011-09-01,2569.799072,2584.803955,2348.217041,2359.218994,2359.218994,1189800,SS,-0.0810648713712603,2011,September
2011-10-01,2363.077881,2483.759033,2307.145996,2468.25,2468.25,1201600,SS,0.04621487292077989,2011,October
2011-11-01,2450.331055,2536.779053,2319.439941,2333.414063,2333.414063,1641600,SS,-0.05462815233464999,2011,November
2011-12-01,2392.485107,2423.559082,2134.01709,2199.416992,2199.416992,1154400,SS,-0.05742532931670268,2011,December
2012-01-01,2211.995117,2324.49292,2132.625977,2292.610107,2292.610107,1045600,SS,0.04237173548216365,2012,January
2012-02-01,2288.065918,2478.375,2263.342041,2428.487061,2428.487061,1952800,SS,0.059267362376676395,2012,February
2012-03-01,2418.788086,2476.216064,2242.344971,2262.788086,2262.788086,2089000,SS,-0.06823136003523463,2012,March
2012-04-01,2258.031006,2415.75,2251.393066,2396.315918,2396.315918,1634200,SS,0.05901031246635252,2012,April
2012-05-01,2421.082031,2453.730957,2309.072021,2372.233887,2372.233887,1991000,SS,-0.010049606072015384,2012,May
2012-06-01,2373.224121,2388.085938,2188.716064,2225.429932,2225.429932,1276200,SS,-0.06188426689480128,2012,June
2012-07-01,2234.320068,2244.832031,2100.251953,2103.63501,2103.63501,1349200,SS,-0.05472871567362384,2012,July
2012-08-01,2101.7229,2176.794922,2032.536987,2047.521973,2047.521973,1364200,SS,-0.02667432170184317,2012,August
2012-09-01,2044.823975,2145.00293,1999.484009,2086.168945,2086.168945,1432200,SS,0.01887499744062576,2012,September
2012-10-01,2084.849121,2138.0271,2053.092041,2068.879883,2068.879883,1231200,SS,-0.008287469737979362,2012,October
2012-11-01,2070.02002,2123.326904,1959.333984,1980.116943,1980.116943,1245200,SS,-0.04290386345256955,2012,November
2012-12-01,1977.254028,2269.511963,1949.457031,2269.12793,2269.12793,2245000,SS,0.14595652444755638,2012,December
2013-01-01,2289.51001,2391.821045,2234.947021,2385.422119,2385.422119,2671800,SS,0.05125060930346035,2013,January
2013-02-01,2377.414063,2444.803955,2289.885986,2365.593018,2365.593018,1826400,SS,-0.00831261722697215,2013,February
2013-03-01,2364.543945,2369.648926,2228.812988,2236.621094,2236.621094,2326200,SS,-0.05451991235121237,2013,March
2013-04-01,2229.459961,2253.420898,2165.783936,2177.912109,2177.912109,1497000,SS,-0.026248963294450717,2013,April
2013-05-01,2170.782959,2334.334961,2161.139893,2300.594971,2300.594971,2295200,SS,0.05633049262779048,2013,May
