Date,Close,stock
2010-01-01,100.550003,DIA
2010-02-01,103.300003,DIA
2010-03-01,108.610001,DIA
2010-04-01,110.099998,DIA
2010-05-01,101.470001,DIA
2010-06-01,97.730003,DIA
2010-07-01,104.699997,DIA
2010-08-01,100.199997,DIA
2010-09-01,107.910004,DIA
2010-10-01,111.309998,DIA
2010-11-01,110.169998,DIA
2010-12-01,115.629997,DIA
2011-01-01,118.599998,DIA
2011-02-01,122.150002,DIA
2011-03-01,123.019997,DIA
2011-04-01,128.039993,DIA
2011-05-01,125.5,DIA
2011-06-01,123.830002,DIA
2011-07-01,121.129997,DIA
2011-08-01,115.949997,DIA
2011-09-01,108.93,DIA
2011-10-01,119.339996,DIA
2011-11-01,120.190002,DIA
2011-12-01,121.849998,DIA
2012-01-01,126.07,DIA
2012-02-01,129.289993,DIA
2012-03-01,131.800003,DIA
2012-04-01,131.800003,DIA
2012-05-01,123.699997,DIA
2012-06-01,128.449997,DIA
2012-07-01,129.690002,DIA
2012-08-01,130.880005,DIA
2012-09-01,134.050003,DIA
2012-10-01,130.600006,DIA
2012-11-01,130.100006,DIA
2012-12-01,130.580002,DIA
2013-01-01,138.410004,DIA
2013-02-01,140.279999,DIA
2013-03-01,145.320007,DIA
2013-04-01,148.020004,DIA
2013-05-01,151.100006,DIA
2013-06-01,148.550003,DIA
2013-07-01,154.839996,DIA
2013-08-01,147.850006,DIA
2013-09-01,151,DIA
2013-10-01,155.289993,DIA
2013-11-01,160.720001,DIA
2013-12-01,165.470001,DIA
2014-01-01,156.75,DIA
2014-02-01,163.020004,DIA
2014-03-01,164.240005,DIA
2014-04-01,165.449997,DIA
2014-05-01,166.929993,DIA
2014-06-01,167.889999,DIA
2014-07-01,165.289993,DIA
2014-08-01,170.880005,DIA
2014-09-01,170.070007,DIA
2014-10-01,173.449997,DIA
2014-11-01,178.100006,DIA
2014-12-01,177.880005,DIA
2015-01-01,171.449997,DIA
2015-02-01,181.190002,DIA
2015-03-01,177.580002,DIA
2015-04-01,178.179993,DIA
2015-05-01,180.110001,DIA
2015-06-01,175.820007,DIA
2015-07-01,176.679993,DIA
2015-08-01,165.179993,DIA
2015-09-01,162.619995,DIA
2015-10-01,176.490005,DIA
2015-11-01,177.229996,DIA
2015-12-01,173.990005,DIA
2016-01-01,164.369995,DIA
2016-02-01,164.960007,DIA
2016-03-01,176.639999,DIA
2016-04-01,177.589996,DIA
2016-05-01,177.649994,DIA
2016-06-01,179,DIA
2016-07-01,184.130005,DIA
2016-08-01,183.940002,DIA
2016-09-01,182.779999,DIA
2016-10-01,181.169998,DIA
2016-11-01,191.399994,DIA
2016-12-01,197.509995,DIA
2017-01-01,198.360001,DIA
2017-02-01,207.979996,DIA
2017-03-01,206.339996,DIA
2017-04-01,209.080002,DIA
2017-05-01,210,DIA
2017-06-01,213.240005,DIA
2017-07-01,218.699997,DIA
2017-08-01,219.520004,DIA
2017-09-01,223.820007,DIA
2017-10-01,233.630005,DIA
2017-11-01,242.839996,DIA
2017-12-01,247.380005,DIA
2018-01-01,261.440002,DIA
2018-02-01,250.199997,DIA
2018-03-01,241.399994,DIA
2018-04-01,241.539993,DIA
2018-05-01,244.179993,DIA
2018-06-01,242.729996,DIA
2018-07-01,254.169998,DIA
2018-08-01,259.850006,DIA
2018-09-01,264.399994,DIA
2018-10-01,251.190002,DIA
2018-11-01,255.509995,DIA
2018-12-01,233.199997,DIA
2019-01-01,250.119995,DIA
2019-02-01,259.279999,DIA
2019-03-01,259.130005,DIA
2019-04-01,265.790009,DIA
2019-05-01,248.220001,DIA
2019-06-01,265.850006,DIA
2019-07-01,268.519989,DIA
2019-08-01,264.130005,DIA
2019-09-01,269.179993,DIA
2019-10-01,270.480011,DIA
2019-11-01,280.950012,DIA
2019-12-01,285.100006,DIA
2020-01-01,282.420013,DIA
2020-02-01,254.559998,DIA
2020-03-01,219.229996,DIA
2020-04-01,243.220001,DIA
2020-05-01,254.289993,DIA
2020-06-01,257.869995,DIA
2020-07-01,264.350006,DIA
2020-08-01,284.279999,DIA
2020-09-01,277.5,DIA
2020-10-01,265.059998,DIA
2020-11-01,296.619995,DIA
2020-12-01,305.790009,DIA
2021-01-01,299.809998,DIA
2021-02-01,309.450012,DIA
2021-03-01,330.179993,DIA
2021-04-01,338.940002,DIA
2021-05-01,345.640015,DIA
2021-06-01,344.950012,DIA
2021-07-01,349.480011,DIA
2021-08-01,353.920013,DIA
2021-09-01,338.290009,DIA
2021-10-01,358.230011,DIA
2021-11-01,344.899994,DIA
2021-12-01,363.320007,DIA
2010-01-01,42.790001,QQQ
2010-02-01,44.759998,QQQ
2010-03-01,48.16,QQQ
2010-04-01,49.240002,QQQ
2010-05-01,45.599998,QQQ
2010-06-01,42.709999,QQQ
2010-07-01,45.810001,QQQ
2010-08-01,43.459999,QQQ
2010-09-01,49.07,QQQ
2010-10-01,52.18,QQQ
2010-11-01,52.09,QQQ
2010-12-01,54.459999,QQQ
2011-01-01,56,QQQ
2011-02-01,57.77,QQQ
2011-03-01,57.43,QQQ
2011-04-01,59.080002,QQQ
2011-05-01,58.360001,QQQ
2011-06-01,57.049999,QQQ
2011-07-01,58,QQQ
2011-08-01,55.060001,QQQ
2011-09-01,52.490002,QQQ
2011-10-01,57.950001,QQQ
2011-11-01,56.389999,QQQ
2011-12-01,55.830002,QQQ
2012-01-01,60.529999,QQQ
2012-02-01,64.410004,QQQ
2012-03-01,67.550003,QQQ
2012-04-01,66.760002,QQQ
2012-05-01,62.060001,QQQ
2012-06-01,64.160004,QQQ
2012-07-01,64.800003,QQQ
2012-08-01,68.160004,QQQ
2012-09-01,68.57,QQQ
2012-10-01,64.949997,QQQ
2012-11-01,65.800003,QQQ
2012-12-01,65.129997,QQQ
2013-01-01,66.870003,QQQ
2013-02-01,67.099998,QQQ
2013-03-01,68.970001,QQQ
2013-04-01,70.720001,QQQ
2013-05-01,73.25,QQQ
2013-06-01,71.269997,QQQ
2013-07-01,75.769997,QQQ
2013-08-01,75.470001,QQQ
2013-09-01,78.879997,QQQ
2013-10-01,82.790001,QQQ
2013-11-01,85.730003,QQQ
2013-12-01,87.959999,QQQ
2014-01-01,86.269997,QQQ
2014-02-01,90.339996,QQQ
2014-03-01,87.669998,QQQ
2014-04-01,87.389999,QQQ
2014-05-01,91.309998,QQQ
2014-06-01,93.910004,QQQ
2014-07-01,95.019997,QQQ
2014-08-01,99.779999,QQQ
2014-09-01,98.790001,QQQ
2014-10-01,101.400002,QQQ
2014-11-01,106.010002,QQQ
2014-12-01,103.25,QQQ
2015-01-01,101.099998,QQQ
2015-02-01,108.400002,QQQ
2015-03-01,105.599998,QQQ
2015-04-01,107.629997,QQQ
2015-05-01,110.050003,QQQ
2015-06-01,107.07,QQQ
2015-07-01,111.949997,QQQ
2015-08-01,104.309998,QQQ
2015-09-01,101.760002,QQQ
2015-10-01,113.330002,QQQ
2015-11-01,114.019997,QQQ
2015-12-01,111.860001,QQQ
2016-01-01,104.129997,QQQ
2016-02-01,102.5,QQQ
2016-03-01,109.199997,QQQ
2016-04-01,105.720001,QQQ
2016-05-01,110.339996,QQQ
2016-06-01,107.540001,QQQ
2016-07-01,115.230003,QQQ
2016-08-01,116.440002,QQQ
2016-09-01,118.720001,QQQ
2016-10-01,116.989998,QQQ
2016-11-01,117.5,QQQ
2016-12-01,118.480003,QQQ
2017-01-01,124.57,QQQ
2017-02-01,130.020004,QQQ
2017-03-01,132.380005,QQQ
2017-04-01,135.990005,QQQ
2017-05-01,141.289993,QQQ
2017-06-01,137.639999,QQQ
2017-07-01,143.229996,QQQ
2017-08-01,146.199997,QQQ
2017-09-01,145.449997,QQQ
2017-10-01,152.149994,QQQ
2017-11-01,155.149994,QQQ
2017-12-01,155.759995,QQQ
2018-01-01,169.399994,QQQ
2018-02-01,167.210007,QQQ
2018-03-01,160.130005,QQQ
2018-04-01,160.940002,QQQ
2018-05-01,170.070007,QQQ
2018-06-01,171.649994,QQQ
2018-07-01,176.449997,QQQ
2018-08-01,186.649994,QQQ
2018-09-01,185.789993,QQQ
2018-10-01,169.820007,QQQ
2018-11-01,169.369995,QQQ
2018-12-01,154.259995,QQQ
2019-01-01,168.160004,QQQ
2019-02-01,173.190002,QQQ
2019-03-01,179.660004,QQQ
2019-04-01,189.539993,QQQ
2019-05-01,173.949997,QQQ
2019-06-01,186.740005,QQQ
2019-07-01,191.100006,QQQ
2019-08-01,187.470001,QQQ
2019-09-01,188.809998,QQQ
2019-10-01,197.080002,QQQ
2019-11-01,205.100006,QQQ
2019-12-01,212.610001,QQQ
2020-01-01,219.070007,QQQ
2020-02-01,205.800003,QQQ
2020-03-01,190.399994,QQQ
2020-04-01,218.910004,QQQ
2020-05-01,233.360001,QQQ
2020-06-01,247.600006,QQQ
2020-07-01,265.790009,QQQ
2020-08-01,294.880005,QQQ
2020-09-01,277.839996,QQQ
2020-10-01,269.380005,QQQ
2020-11-01,299.619995,QQQ
2020-12-01,313.73999,QQQ
2021-01-01,314.559998,QQQ
2021-02-01,314.140015,QQQ
2021-03-01,319.130005,QQQ
2021-04-01,337.98999,QQQ
2021-05-01,333.929993,QQQ
2021-06-01,354.429993,QQQ
2021-07-01,364.570007,QQQ
2021-08-01,379.950012,QQQ
2021-09-01,357.959991,QQQ
2021-10-01,386.109985,QQQ
2021-11-01,393.820007,QQQ
2021-12-01,397.850006,QQQ
2010-01-01,107.389999,SPY
2010-02-01,110.739998,SPY
2010-03-01,117,SPY
2010-04-01,118.809998,SPY
2010-05-01,109.370003,SPY
2010-06-01,103.220001,SPY
2010-07-01,110.269997,SPY
2010-08-01,105.309998,SPY
2010-09-01,114.129997,SPY
2010-10-01,118.489998,SPY
2010-11-01,118.489998,SPY
2010-12-01,125.75,SPY
2011-01-01,128.679993,SPY
2011-02-01,133.149994,SPY
2011-03-01,132.589996,SPY
2011-04-01,136.429993,SPY
2011-05-01,134.899994,SPY
2011-06-01,131.970001,SPY
2011-07-01,129.330002,SPY
2011-08-01,122.220001,SPY
2011-09-01,113.150002,SPY
2011-10-01,125.5,SPY
2011-11-01,124.989998,SPY
2011-12-01,125.5,SPY
2012-01-01,131.320007,SPY
2012-02-01,137.020004,SPY
2012-03-01,140.809998,SPY
2012-04-01,139.869995,SPY
2012-05-01,131.470001,SPY
2012-06-01,136.100006,SPY
