Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.055812228471040726,0.055812228471040726,0.055812228471040726,11391,0.0,0.0
1980-03-18,0.0,0.05348645549384972,0.0523235909640789,0.0523235909640789,28477,0.0,0.0
1980-03-19,0.0,0.058137375861406326,0.05348645099955004,0.058137375861406326,96820,0.0,0.0
1980-03-20,0.0,0.05697504058480263,0.05697504058480263,0.05697504058480263,17086,0.0,0.0
1980-03-21,0.0,0.055812228471040726,0.055812228471040726,0.055812228471040726,5695,0.0,0.0
1980-03-24,0.0,0.05464931975598078,0.053486455231904984,0.053486455231904984,45563,0.0,0.0
1980-03-25,0.0,0.05232360328324568,0.04999840259552002,0.04999840259552002,68344,0.0,0.0
1980-03-26,0.0,0.04883553087711334,0.04883553087711334,0.04883553087711334,5695,0.0,0.0
1980-03-27,0.0,0.04767268133120347,0.041858889162540436,0.041858889162540436,74039,0.0,0.0
1980-03-28,0.0,0.04534747824072838,0.04418461338606597,0.04534747824072838,130992,0.0,0.0
1980-03-31,0.0,0.04650980979204178,0.04418460922129975,0.04650980979204178,153773,0.0,0.0
1980-04-01,0.04650980979204178,0.04650980979204178,0.04650980979204178,0.04650980979204178,0,0.0,0.0
1980-04-02,0.0,0.04883553087711334,0.04883553087711334,0.04883553087711334,11391,0.0,0.0
1980-04-03,0.0,0.04883553087711334,0.04767266623821085,0.04883553087711334,34172,0.0,0.0
1980-04-07,0.04883553087711334,0.04883553087711334,0.04883553087711334,0.04883553087711334,0,0.0,0.0
1980-04-08,0.0,0.04767264798283577,0.04767264798283577,0.04767264798283577,5695,0.0,0.0
1980-04-09,0.0,0.04767264798283577,0.04767264798283577,0.04767264798283577,5695,0.0,0.0
1980-04-10,0.0,0.0511612631380558,0.04883553372464098,0.0511612631380558,68344,0.0,0.0
1980-04-11,0.0,0.05348645549384972,0.0523235909640789,0.0523235909640789,28477,0.0,0.0
1980-04-14,0.0,0.05348646363212457,0.0511612631380558,0.0511612631380558,56953,0.0,0.0
1980-04-15,0.0,0.05232360328324568,0.04999840259552002,0.04999840259552002,113906,0.0,0.0
1980-04-16,0.0,0.04767264798283577,0.04767264798283577,0.04767264798283577,5695,0.0,0.0
1980-04-17,0.0,0.04767267058993511,0.04650980979204178,0.04650980979204178,68344,0.0,0.0
1980-04-18,0.0,0.04883553087711334,0.04650980554646743,0.04883553087711334,56953,0.0,0.0
1980-04-21,0.0,0.05116126015491832,0.04883553087711334,0.04883553087711334,62648,0.0,0.0
1980-04-22,0.0,0.055812228471040726,0.0476726992770599,0.055812228471040726,392977,0.0,0.0
1980-04-23,0.0,0.0593002550303936,0.0569750584548119,0.0593002550303936,51258,0.0,0.0
1980-04-24,0.0,0.06278885900974274,0.05930026430120661,0.06278885900974274,239203,0.0,0.0
1980-04-25,0.0,0.06162597641667501,0.060463111847639084,0.060463111847639084,79734,0.0,0.0
1980-04-28,0.0,0.0651140883564949,0.0604631556316882,0.0651140883564949,91125,0.0,0.0
1980-04-29,0.0,0.06278881410971912,0.061625950038433075,0.061625950038433075,62648,0.0,0.0
1980-04-30,0.0,0.06162598447248722,0.0593002550303936,0.0593002550303936,45563,0.0,0.0
1980-05-01,0.0,0.0593002550303936,0.0593002550303936,0.0593002550303936,56953,0.0,0.0
1980-05-02,0.0,0.058137375861406326,0.05697504429572687,0.058137375861406326,68344,0.0,0.0
1980-05-05,0.0,0.060463111847639084,0.05813738270956721,0.060463111847639084,28477,0.0,0.0
1980-05-06,0.0,0.06278884098571096,0.060463111847639084,0.060463111847639084,108211,0.0,0.0
1980-05-07,0.0,0.06162597641667501,0.060463111847639084,0.060463111847639084,17086,0.0,0.0
1980-05-08,0.0,0.0593002550303936,0.0593002550303936,0.0593002550303936,28477,0.0,0.0
1980-05-09,0.0,0.0593002550303936,0.0593002550303936,0.0593002550303936,5695,0.0,0.0
1980-05-12,0.0,0.061625950038433075,0.06046308596714703,0.061625950038433075,17086,0.0,0.0
1980-05-13,0.0,0.060463111847639084,0.060463111847639084,0.060463111847639084,5695,0.0,0.0
1980-05-14,0.0,0.06162597641667501,0.060463111847639084,0.060463111847639084,22781,0.0,0.0
1980-05-15,0.060463111847639084,0.060463111847639084,0.060463111847639084,0.060463111847639084,0,0.0,0.0
1980-05-16,0.0,0.060463111847639084,0.060463111847639084,0.060463111847639084,17086,0.0,0.0
1980-05-19,0.0,0.060463111847639084,0.05930024727860315,0.060463111847639084,17086,0.0,0.0
1980-05-20,0.0,0.061625950038433075,0.06046308596714703,0.061625950038433075,39867,0.0,0.0
1980-05-21,0.061625950038433075,0.061625950038433075,0.061625950038433075,0.061625950038433075,0,0.0,0.0
1980-05-22,0.0,0.060463111847639084,0.05813738270956721,0.060463111847639084,74039,0.0,0.0
1980-05-23,0.0,0.0593002550303936,0.0593002550303936,0.0593002550303936,5695,0.0,0.0
1980-05-27,0.0,0.061625950038433075,0.06046308596714703,0.061625950038433075,108211,0.0,0.0
1980-05-28,0.0,0.060463111847639084,0.05930024727860315,0.060463111847639084,34172,0.0,0.0
1980-05-29,0.0,0.06395117193460464,0.059300242919620175,0.06395117193460464,113906,0.0,0.0
1980-05-30,0.0,0.061625950038433075,0.06046308596714703,0.061625950038433075,51258,0.0,0.0
1980-06-02,0.0,0.06162597641667501,0.060463111847639084,0.060463111847639084,39867,0.0,0.0
1980-06-03,0.0,0.060463111847639084,0.060463111847639084,0.060463111847639084,28477,0.0,0.0
1980-06-04,0.0,0.06278885900974274,0.06046312920405199,0.06278885900974274,159469,0.0,0.0
1980-06-05,0.0,0.0662769498204515,0.06395122294537663,0.0651140883564949,467016,0.0,0.0
1980-06-06,0.0,0.06395117193460464,0.06395117193460464,0.06395117193460464,11391,0.0,0.0
1980-06-09,0.0,0.0651140883564949,0.0651140883564949,0.0651140883564949,85430,0.0,0.0
1980-06-10,0.0,0.06395119499315285,0.06278885900974274,0.06278885900974274,51258,0.0,0.0
1980-06-11,0.0,0.06162597641667501,0.060463111847639084,0.060463111847639084,17086,0.0,0.0
1980-06-12,0.0,0.061625950038433075,0.06046308596714703,0.061625950038433075,85430,0.0,0.0
1980-06-13,0.0,0.06046311975144041,0.0593002550303936,0.0593002550303936,68344,0.0,0.0
1980-06-16,0.0593002550303936,0.0593002550303936,0.0593002550303936,0.0593002550303936,0,0.0,0.0
1980-06-17,0.0,0.0593002550303936,0.0593002550303936,0.0593002550303936,28477,0.0,0.0
1980-06-18,0.0,0.060463111847639084,0.05930024727860315,0.060463111847639084,74039,0.0,0.0
1980-06-19,0.0,0.058137375861406326,0.058137375861406326,0.058137375861406326,51258,0.0,0.0
1980-06-20,0.0,0.0593002550303936,0.0593002550303936,0.0593002550303936,11391,0.0,0.0
1980-06-23,0.0,0.0593002550303936,0.0593002550303936,0.0593002550303936,56953,0.0,0.0
1980-06-24,0.0,0.0593002550303936,0.058137390309346795,0.0593002550303936,62648,0.0,0.0
